LABEL,IS DUPLICATE OF
muddy sand ,sandy mud 
Dead Hard Coral ,Recent Dead Coral 
Crustose coralline algae ,CCA (crustose coralline algae) 
Crown of thorns starfish ,Crown of Thorns Sea Star 
Octocorallia ,Soft Coral 
Sea anemone ,Anemone 
Montastrea franksi ,Orbicella franksi 
Acropora formosa ,Acropora muricata 
Cyanobacteria films ,Cyanobacteria 
Encrusting Montipora ,Montipora (encrusting) 
Coral ,Hard coral 
Apalmata ,Acropora palmata 
Corals: Stony corals ,Hard coral 
Corals: Stony corals: Columnar ,Hard Coral (columnar) 
Corals: Stony corals: Solitary / mushroom ,Fungiidae 
Acervicornis ,Acropora cervicornis 
Dstokesi ,Dichocoenia stokesi 
Ffragum ,Favia fragum 
Cnatans ,Colpophyllia natans 
Dcylindrus ,Dendrogyra cylindrus 
Utenuifolia ,Agaricia tenuifolia 
Ocomplex ,Orbicella 
Pastreoides ,Porites astreoides 
Oculina spp. ,Oculina 
Encrusting Hard Coral ,Hard Coral (encrusting) 
Columnar Hard Corals ,Hard Coral (columnar) 
Rock Rubble ,Rubble 
51_encrusting_corallimopharians ,Corallimorpharia 
Rubble (LOF) ,Broken coral rubble 
Favia stelligera ,Goniastrea stelligera 
Favia speciosa ,Dipsastraea speciosa 
Neomeris spp. ,Neomeris 
"Sediment, thin ",sediment (fine) 
Montastraea annularis ,Orbicella annularis 
"Sediment, thick ",sediment (thick) 
CRED-Diploastrea spp ,Diploastrea 
CRED-Euphyllia spp ,Euphyllia 
CRED-Galaxea spp ,Galaxea 
Diploria stigosa ,Pseudodiploria strigosa 
Diploria clivosa ,Pseudodiploria clivosa 
CRED-Fungia spp ,Fungia 
CRED-Echinophyllia spp ,Echinophyllia 
CRED-Favites spp ,Favites 
CRED-Cyphastrea spp ,Cyphastrea 
Montastraea faveolata ,Orbicella faveolata 
Montastraea franksi ,Orbicella franksi 
CRED-Columnar hard coral ,Hard Coral (columnar) 
CRED-Encrusting hard coral ,Hard Coral (encrusting) 
CRED-Montipora spp_encrusting ,Montipora (encrusting) 
CRED-Montastraea spp ,Montastraea 
Coral:SoftCorals ,Soft Coral 
CRED-Foliose hard coral ,Hard Coral (foliose) 
CRED-Montipora spp_foliose ,Montipora (foliose) 
Non Hermatypic Heliopora ,Heliopora 
CRED-Acanthastrea spp ,Acanthastrea 
CRED-Astreopora spp ,Astreopora 
CRED-Isopora spp ,Isopora 
CRED-Heliopora spp ,Heliopora 
CRED-Leptoseris spp ,Leptoseris 
CRED-Coscinaraea spp ,Coscinaraea 
CRED-Lobophyllia spp ,Lobophyllia 
CRED-Goniastrea spp ,Goniastrea 
CRED-Acropora spp_branching ,Acropora (branching) 
CRED-Leptastrea spp ,Leptastrea 
CRED-Leptoria spp ,Leptoria 
CRED-Branching hard coral ,Hard Coral (branching) 
CRED-Millepora spp ,Millepora 
CRED-Merulina spp ,Merulina 
CRED-Hydnophora spp ,Hydnophora 
CRED-Pachyseris spp ,Pachyseris 
CRED-Oulophyllia spp ,Oulophyllia 
CRED-Hydrocoral ,Hydrocoral 
CRED-Corallimorph ,Corallimorpharia 
CRED-Porites spp_massive ,Porites (massive) 
CRED-Pocillopora spp ,Pocillopora 
CRED-Turbinaria spp ,Turbinaria (coral) 
CRED-Porites spp_branching ,Porites (branching) 
CRED-Platygyra spp ,Platygyra 
CRED-Anemone ,Anemone 
CRED-Plerogyra spp ,Plerogyra 
CRED-Bivalve ,Bivalve 
CRED-Giant clam ,Tridacna: Giant clam 
CRED-Psammocora spp ,Psammocora 
CRED-Stylophora spp ,Stylophora 
CRED-Symphyllia spp ,Symphyllia 
CRED-Halimeda spp ,Halimeda 
