ROUNDID,MISSIONID,REGION,REGION_NAME,ISLAND,ISLANDCODE,SITE,LATITUDE,LONGITUDE,REEF_ZONE_CODE,REEF_ZONE,DEPTH_BIN,DEPTH_CODE,SITEVISITID,DATE_,OBS_DAY,OBS_MONTH,OBS_YEAR,SITE_MIN_DEPTH,SITE_MAX_DEPTH,HABITAT_CODE,HABITAT_TYPE,DIVER,BELTTRANSECTRUN,METHODNAME,TRANSECT,SEGMENT,SEGWIDTH,SEGLENGTH,NO_SURVEY_YN,COLONYID,TAXONCODE,MORPH_CODE,MORPHOLOGY,COLONYLENGTH,OLDDEAD,RECENTDEAD,RECENT_GENERAL_CAUSE_CODE,RECENT_SPECIFIC_CAUSE_CODE,RECENTDEAD_2,RECENT_GENERAL_CAUSE_CODE_2,RECENT_SPECIFIC_CAUSE_CODE_2,COND,COND_DESCRIPTION,EXTENT,SEVERITY,TAXONNAME,PHYLUM,CLASS,S_ORDER,FAMILY,GENUS_CODE,GENUS,SCIENTIFIC_NAME,RANK,APHIAID
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365421,MOSP,EF,Encrusting (flat),64,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Montipora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,MOSP,Montipora,,Genus,
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365422,PMEA,BR,Branching,40,15,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365423,PMEA,BR,Branching,25,5,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365424,FMAT,MD,Mounding,10,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Favia matthaii,Cnidaria,Anthozoa,Scleractinia,Faviidae,FASP,Favia,Favia matthaii,Species,207437
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365425,FMAT,MD,Mounding,8,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Favia matthaii,Cnidaria,Anthozoa,Scleractinia,Faviidae,FASP,Favia,Favia matthaii,Species,207437
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365426,PMEA,BR,Branching,13,30,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365427,PMEA,BR,Branching,17,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365428,PMEA,BR,Branching,10,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365429,MOSP,EF,Encrusting (flat),18,20,0,.,.,-9,.,.,TIN,Tube Worm Infestation,30,-9,Montipora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,MOSP,Montipora,,Genus,
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365430,FMAT,MD,Mounding,30,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Favia matthaii,Cnidaria,Anthozoa,Scleractinia,Faviidae,FASP,Favia,Favia matthaii,Species,207437
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365431,FMAT,MD,Mounding,8,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Favia matthaii,Cnidaria,Anthozoa,Scleractinia,Faviidae,FASP,Favia,Favia matthaii,Species,207437
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365432,PMEA,BR,Branching,43,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365433,MOSP,EF,Encrusting (flat),17,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Montipora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,MOSP,Montipora,,Genus,
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365434,PMEA,BR,Branching,35,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Pocillopora meandrina,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,POCS,Pocillopora,Pocillopora meandrina,Species,206964
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365435,GEDW,MD,Mounding,16,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Goniastrea edwardsi,Cnidaria,Anthozoa,Scleractinia,Faviidae,GONS,Goniastrea,Goniastrea edwardsi,Species,207466
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365436,GEDW,MD,Mounding,25,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Goniastrea edwardsi,Cnidaria,Anthozoa,Scleractinia,Faviidae,GONS,Goniastrea,Goniastrea edwardsi,Species,207466
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365437,MOSP,EF,Encrusting (flat),7,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Montipora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,MOSP,Montipora,,Genus,
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365438,MOSP,EF,Encrusting (flat),23,0,0,.,.,-9,.,.,TIN,Tube Worm Infestation,10,-9,Montipora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,MOSP,Montipora,,Genus,
87,HA1401,PRIAs,Pacific Remote Island Areas,Wake,WAK,WAK-395,19.30686596,166.5940829,FRF,Forereef,Shallow,S,6551,19-MAR-14,19,3,2014,13,16,AGR,Aggregate Reef,JDG,19812034,Coral Belt version e,1,5,1,2.5,0,365439,ACSP,BR,Branching,6,0,0,.,.,-9,.,.,NDZ,No Disease,-9,-9,Acropora sp,Cnidaria,Anthozoa,Scleractinia,Acroporidae,ACSP,Acropora,,Genus,
