Name,Functional Group,Default
51_tabular_hard_coral,Hard coral,HCTa
Acanthastrea,Hard coral,Acanth
Acanthastrea echinata,Hard coral,AcanEch
Acanthastrea_encrusting,Hard coral,acaenc
Acanthastrea hemprichii,Hard coral,AcanHem
Acanthastrea_massive,Hard coral,acamas
Acanthastrea maxima,Hard coral,AcMax
acropERROR,Hard coral,errorcode
Acropora,Hard coral,Acropora
Acropora aculeus,Hard coral,AcrAcu
Acropora arabensis,Hard coral,AcrArab
Acropora (arborescent),Hard coral,Acr_arb
Acropora_arborescent,Hard coral,acrarb
Acropora (arborescent table),Hard coral,Acr_arbTab
Acropora austera,Hard coral,ACRau
Acropora azurea,Hard coral,ACRaz
Acropora (branching),Hard coral,Acr_bra
Acropora branching (pale),Hard coral,PACR_br
Acropora_bushy,Hard coral,acrbus
Acropora (caespitose),Hard coral,Acr_caes
Acropora cervicornis,Hard coral,AcrCerv
Acropora clathrata,Hard coral,AcrClath
Acropora Club Shaped,Hard coral,AcClub
Acropora (corymbose),Hard coral,Acr_corym
Acropora corymbose small,Hard coral,acr_cor
Acropora corymbose/tabular/plate,Hard coral,BRA_TAB-Ac
Acropora corymbose/tabular/plate Bleached,Hard coral,BRA_TAB-B*
Acropora cytherea,Hard coral,AcrCyth
Acropora cytherea bleached,Hard coral,ACYT_BL
Acropora (digitate),Hard coral,Acr_dig
"Acropora digitate, branches resembling finger",Hard coral,BRA_DIG_Ac
Acropora digitate/finger-like Bleached,Hard coral,BRA_DIG_B*
Acropora digitifera,Hard coral,ACRdi
Acropora divaricata,Hard coral,AcrDiv
Acropora downingi,Hard coral,AcrDown
Acropora echinata1,Hard coral,AE1
Acropora echinata2,Hard coral,AE2
Acropora elseyi,Hard coral,AcrEls
Acropora (encrusting),Hard coral,Acr_enc
Acropora_encrusting,Hard coral,acrenc
Acropora Encrusting,Hard coral,ACE**
Acropora florida,Hard coral,AcrFlo
Acropora formosa (muricata) group,Hard coral,Acr_f_m_gr
Acropora gemmifera,Hard coral,AcrGem
Acropora gemmifera bleached,Hard coral,AGEM_BL
Acropora (hispidose),Hard coral,Acr_hisp
Acropora humilis,Hard coral,AcrHum
Acropora humilis group,Hard coral,Acr_hum_gr
Acropora hyacinthus,Hard coral,AcrHya
Acropora hyacinthus group,Hard coral,Acr_hya_gr
Acropora intermedia,Hard coral,ACRin
Acropora latistella,Hard coral,Acr_lat
Acropora listeri,Hard coral,ACRli
Acropora loripes,Hard coral,AcrLor
Acropora microclados,Hard coral,ACRmc
Acropora microphthalma,Hard coral,ACRmi
Acropora millepora,Hard coral,AcrMille
Acropora monticulosa,Hard coral,AcrMon
Acropora muricata,Hard coral,AcrMur
Acropora nana,Hard coral,ACRna
Acropora nasuta,Hard coral,AcrNas
Acropora palmata,Hard coral,AcrPalm
Acropora pharaonis,Hard coral,AcrPhar
Acropora (plating),Hard coral,Acr_plat
Acropora prolifera,Hard coral,AcrPro
Acropora retusa,Hard coral,ARET
Acropora robusta group,Hard coral,Acr_rob_gr
Acropora samoensis,Hard coral,AcrSam
Acropora sarmentosa,Hard coral,ACRsa
Acropora secale,Hard coral,AcrSec
Acropora sp.,Hard coral,Acr_spe
Acropora Sp1.,Hard coral,ASp1
Acropora Sp2,Hard coral,ASp2
Acropora Sp3,Hard coral,ASp3
Acropora spathulata,Hard coral,AcrSpa
Acropora squarrosa,Hard coral,AcrSqu
Acropora (submassive),Hard coral,Acr_sub
Acropora_tabular,Hard coral,acrtab
Acropora (tabulate),Hard coral,Acr_tab
Acropora tabulate (pale),Hard coral,PAcr_tab
Acropora tenuis,Hard coral,AcrTen
Acropora tortuosa,Hard coral,AcrTort
Acropora valida,Hard coral,AcrVal
Acroporidae (branching),Hard coral,ACR_br
Acroporidae branching bleached (white),Hard coral,ACR-BRA-B*
Acroporidae (hispidose),Hard coral,ACR_hi
Acroporidae hispidose bleached,Hard coral,ACR-HIP-B*
Acroporidae Other,Hard coral,ACR-OTH
Acroporidae Other Bleached,Hard coral,ACR-OTH-B*
Acroporidae (plate/encrusting),Hard coral,ACR_p_e
Acroporidae plate/encrusting Bleached,Hard coral,ACR-PE-B*
Acroporidae (table/corymbose/digitate),Hard coral,ACR_t_c_d
Agaricia,Hard coral,Agaricia
Agaricia agaricites,Hard coral,AgAga
Agaricia fragilis,Hard coral,AgFra
Agaricia grahamae,Hard coral,AgGra
Agaricia humilis,Hard coral,AgHum
Agaricia lamarcki,Hard coral,AgLam
Agaricia tenuifolia,Hard coral,AgTen
Agaricia/Undaria,Hard coral,AGAR
Agaricia undata,Hard coral,AgUnd
Agariciidae,Hard coral,AGARICIIDA
Agracia agricites,Hard coral,AGAG
Alek,Hard coral,alek
Alveopora,Hard coral,Alveopora
Alveopora_encrusting,Hard coral,alvenc
Alveopora_massive,Hard coral,alvmas
Alveopora tizardi,Hard coral,AlTiz
Anacropora,Hard coral,Anacropora
Anacropora_bushy,Hard coral,anabus
Anomastraea,Hard coral,Anoma
Anomastraea irregularis,Hard coral,AnIrr
Apalmata Bleached,Hard coral,ApBl
Apalmata live,Hard coral,ApLive
Apalmata Old Dead,Hard coral,ApDead
Apalmata Pale,Hard coral,ApPale
Apalmata Recent Mortality,Hard coral,ApRM
Arabastrea,Hard coral,AR
Astrangia,Hard coral,Astran
Astrangia poculata,Hard coral,AstranPoc
Astrangia sp.,Hard coral,ASTR
Astrea,Hard coral,Astrea
Astrea curta,Hard coral,AstrCurt
Astreopora,Hard coral,Astreo
Astreopora-Cyphastrea,Hard coral,AsCy
Astreopora (encrusting),Hard coral,Astreo_enc
Astreopora_encrusting,Hard coral,astenc
Astreopora_foliose,Hard coral,astfol
Astreopora gracilis,Hard coral,AstreoGra
Astreopora incrustans,Hard coral,AstreoInc
Astreopora (massive),Hard coral,Astreo_mas
Astreopora_massive,Hard coral,astmas
Astreopora myriophthalma,Hard coral,AstreoMyr
Astreopora ocellata,Hard coral,AstreoOce
Astreopora Plate Like,Hard coral,AstPlat
Astreopora (sub-massive),Hard coral,Astreo_sub
Astreopora (tabulate),Hard coral,Astreo_tab
Astreopora-Turbinaria,Hard coral,AsTu
Balanophyllia,Hard coral,Balanophy
Balanophyllia elegans,Hard coral,BalEle
Blastomussa,Hard coral,Blast
Blastomussa Sub-Massive,Hard coral,Blast_subm
Bleached Acanthastrea,Hard coral,BAcan
Bleached Acanthastrea Sub-massive,Hard coral,BlAcaSM
Bleached Acropora,Hard coral,B_Acro
Bleached Acropora (arborescent),Hard coral,B_Acr_arb
Bleached Acropora branching,Hard coral,BAcroBr
Bleached Acropora corymbose,Hard coral,BlAcro-Cor
Bleached Acropora Digitate,Hard coral,BlAcrDig
Bleached Acropora Encrusting,Hard coral,BlAcrEnc
Bleached Acropora formosa.,Hard coral,B_ACfor
Bleached Acropora tabulate,Hard coral,BAT
Bleached Agaricia gahamae,Hard coral,BL_AgGra
