name,morphology,calcification,rugosity_mean,rugosity_sd
Acropora cervicornis,Branching,19.28,2.27,0.59
Acropora palmata,Branching,17.94,3.66,1.27
Acropora prolifera,Branching,9.41,2.97,nd
Agaricia fragilis,Foliose,0.1,1.55,nd
Agaricia lamarcki,Foliose,0.09,1.27,nd
Colpophyllia natans,Massive,4.47,1.45,0.18
Dendrogyra cylindrus,Massive,12.13,1.84,nd
Dichocoenia stokesii,Massive,4.09,1.51,0.38
Diploria labyrinthiformis,Massive,5.86,1.61,0.2
Eusmilia fastigiata,Massive,8.19,1.53,0.3
Favia fragum,Massive,7.83,1.25,nd
Helioseris cucullata,Foliose,0.09,1.08,0.04
Isophyllia rigida,Massive,3.76,1.32,0.17
Isophyllia sinuosa,Massive,3.57,1.16,0.12
Madracis auretenra,Digitate,4.86,1.44,0.2
Madracis decactis,Digitate,13.7,2.03,1.04
Madracis formosa,Digitate,9.28,1.4,nd
Manicina areolata,Massive,11.74,1.13,nd
Meandrina jacksoni,Massive,1.53,1.29,1.13
Meandrina meandrites,Massive,1.93,1.35,0.26
Millepora alcicornis,Digitate,0.65,2.19,0.69
Millepora complanata ,Foliose,5.01,1.65,0.76
Millepora squarrosa,Foliose,3.33,1.91,nd
Millepora striata,Foliose,3.33,1.91,nd
Montastraea cavernosa,Massive,6.62,1.86,0.49
Mussa angulosa,Massive,4.28,1.27,nd
Mycetophyllia aliciae,Foliose,0.08,1.37,0.23
Mycetophyllia ferox,Foliose,0.08,1.03,0.05
Mycetophyllia lamarckiana,Foliose,0.08,1.22,0.13
Orbicella annularis,Massive,10.71,1.89,0.34
Orbicella faveolata,Massive,11.49,1.91,0.48
Orbicella franksi,Massive,9.2,1.9,nd
Porites astreoides,Massive,5.78,1.54,0.43
Porites divaricata,Digitate,1.45,1.41,0.13
Porites furcata,Digitate,1.86,1.39,0.02
Porites porites,Digitate,5.15,1.77,0.39
Pseudodiploria clivosa,Massive,5.13,1.7,0.4
Pseudodiploria strigosa,Massive,5.23,1.87,0.53
Scolymia cubensis,Massive,4.28,1.25,nd
Scolymia lacera,Massive,4.28,1.25,nd
Siderastrea radians,Massive,2.85,1.03,0.06
Siderastrea siderea,Massive,6.51,1.35,0.26
Solenastrea bournoni,Massive,14.08,1.11,nd
Stephanocoenia intersepta,Massive,4.05,1.09,0.13
Undaria agaricites,Massive,4.27,1.51,0.42
Undaria humilis,Massive,5.28,1,0
Undaria tenuifolia,Foliose,0.86,1.83,0.52
